KS ID,UID,Kinase
722,1114,MAPKAPK2
723,1118,Akt1
723,1119,Akt1
723,1117,MAPKAPK2
724,1120,MAPKAPK2
724,1121,PKACA
725,1122,PKACA
726,1123,Brk
726,1124,SRMS
727,1125,Brk
728,1126,CK2A1
729,1127,LKB1
730,1130,BRSK1 iso2
730,1128,CAMKK1
730,1129,LKB1
731,1131,BRSK1 iso2
732,1132,PKACA
733,1133,LKB1
734,1134,CDK2
735,1137,Btk
735,1136,LYN
735,1138,LYN
735,1135,Syk
736,1140,Abl
736,1143,Btk
736,1145,Btk
736,1141,ITK
736,1142,LYN
736,1144,LYN
736,1139,TEC
737,1146,Akt1
738,1147,Akt1
738,1148,Akt1
739,1149,CDK1
740,1150,CDK1
741,1151,BUB1
742,1152,BUB1
743,1153,BUB1
744,1154,BUB1
745,1155,BUB1
746,1156,BUB1
747,1157,BUB1
748,1158,BUB1
749,1159,BUB1
750,1160,BUB1
751,1161,BUB1
752,1162,BUB1
753,1163,BUB1
754,1164,BUB1
755,1165,BUB1
756,1166,BUB1
757,1167,BUB1
758,1168,BUB1
759,1169,BUB1
760,1170,ATM
761,1171,CDK1
761,1172,TTK
762,1173,CDK1
762,1174,TTK
763,1175,CDK1
763,1176,TTK
764,1177,PLK1
765,1178,PLK1
766,1179,PLK1
767,1180,PLK1
768,1181,TTK
769,1182,BUB1
770,1183,PKM
771,1184,Chk1
772,1185,PKCD
773,1187,ERK1
773,1188,PKCA
773,1186,PKCD
774,1189,PKCD
775,1190,PKCD
776,1191,BVR
777,1192,BVR
778,1193,INSR
779,1194,INSR
780,1195,INSR
781,1196,PKCA
782,1197,ERK1
782,1198,ERK2
783,1199,PKACA
784,1200,ERK1
784,1201,ERK2
784,1202,HIPK2
785,1203,Abl
785,1204,Arg
786,1205,GSK3B
787,1206,CK2A1
788,1207,GSK3B
789,1208,CDK2
790,1209,CDK2
791,1210,CK2A1
792,1213,PKCA
792,1214,PKCB
792,1212,PKCB iso2
792,1211,PKCD
792,1215,PKCG
793,1216,PKCA
794,1217,PKCA
795,1218,PKCA
796,1219,PKCA
797,1220,PKCA
798,1221,CDK2
799,1222,PKACA
800,1223,Chk1
801,1224,CDK3
802,1225,GSK3B
803,1226,GSK3B
804,1227,PKACA
805,1228,Src
806,1229,PRKD1
807,1230,PKACA
808,1231,CAMK2D
809,1233,p70S6K
809,1232,PKACA
810,1234,PKACA
811,1235,ERK1
811,1236,ERK2
812,1237,ERK1
813,1238,ERK1
814,1239,CDK2
815,1240,PAK2
816,1241,PAK2
817,1242,ERK1
817,1243,ERK2
818,1244,CK2A1
819,1245,CK2A1
820,1246,CK2A1
821,1247,CK2A1
822,1249,CDK1
822,1248,ERK1
823,1250,CK2A1
824,1251,Src
825,1252,Src
826,1253,ROCK2
827,1254,GRK2
828,1255,CK1A
829,1256,CK2A1
830,1257,CK2A1
831,1258,PLK2
831,1259,PLK3
832,1260,PLK2
832,1261,PLK3
833,1262,PLK2
833,1263,PLK3
834,1264,PLK3
835,1265,PLK3
836,1266,CK2A1
837,1267,CAMKK1
838,1268,CAMKK1
839,1269,CAMK2A
840,1270,CAMK2A
841,1271,CAMK2A
842,1273,CAMK1A
842,1272,CAMK4
843,1274,CAMK2G
844,1275,CAMK2G
845,1276,CAMKK1
846,1277,CAMKK1
847,1278,CAMKK1
848,1279,PKACA
849,1280,PKACA
850,1281,DAPK1
851,1282,CAMKK2
852,1283,Chk1
853,1284,ERK1
853,1285,ERK2
854,1286,ERK1
854,1287,ERK2
855,1288,p90RSK
855,1289,RSK2
855,1290,RSK2
856,1291,PKACA
857,1292,PKACA
858,1293,PKACA
859,1294,PKACA
860,1295,PKACA
861,1296,PKACA
862,1297,PKACA
863,1298,ERK1
863,1299,ERK2
864,1300,CK2A1
865,1301,MAPKAPK2
866,1302,MAPKAPK2
867,1303,PKCA
868,1304,CAMK2A
869,1305,PKCT
870,1306,HPK1
871,1307,HPK1
872,1308,CK1A
873,1309,PKCD
874,1310,CK2A1
875,1311,CK2A1
876,1312,CDK1
877,1315,Akt1
877,1316,Akt1
877,1314,p90RSK
877,1313,SGK1
878,1317,DYRK2
879,1318,DYRK2
880,1319,DYRK2
881,1320,AurB
882,1321,AurB
883,1322,CASK
884,1323,CASK
885,1324,AurA
886,1325,CK1D
887,1326,CK1D
888,1327,CK2A1
889,1328,DNAPK
890,1329,P38A
891,1330,NuaK1
892,1331,PAK2
893,1332,PAK2
894,1333,PAK2
895,1335,CDK1
895,1334,ERK1
895,1336,ERK2
896,1338,LYN
896,1339,LYN
896,1337,Src
897,1340,P38A
898,1341,PLK3
899,1342,LYN
899,1343,LYN
900,1344,RSK2
900,1345,RSK2
901,1346,Src
902,1347,PKACA
903,1348,PKACA
904,1349,PKACA
905,1351,CDK1
905,1350,ERK1
905,1352,ERK2
906,1353,Abl
907,1354,Abl
908,1355,PKCZ
909,1356,Akt1
909,1357,Akt1
910,1358,PKCD
911,1359,Abl
911,1360,Arg
912,1361,Abl
912,1362,Arg
913,1364,Abl
913,1365,Fyn
913,1363,Src
914,1366,CK2A1
915,1367,CK2A1
916,1368,Src
917,1369,CDK16
918,1370,CDK14
919,1371,CDK14
920,1374,Fyn
920,1373,Lck
920,1372,Syk
921,1378,Fyn
921,1377,Lck
921,1376,Src
921,1375,Syk
922,1382,Fyn
922,1381,Lck
922,1380,Src
922,1379,Syk
923,1383,LYN
923,1384,LYN
924,1385,PKCT
925,1386,Src
926,1387,ERK1
926,1388,ERK2
927,1389,IKKA
928,1390,IKKA
929,1391,Akt1
929,1392,Akt1
930,1393,PKG1
931,1394,PKG1
932,1395,CK2A1
933,1396,PKACA
934,1397,HIPK2
935,1399,Akt1
935,1400,Akt1
935,1398,Akt2
936,1401,CDK2
937,1402,Chk1
938,1404,EGFR
938,1403,Lck
939,1406,EGFR
939,1405,Lck
940,1408,EGFR
940,1407,Lck
941,1410,CDK2
941,1409,Chk1
942,1411,Chk1
943,1412,ATM
944,1413,ATR
945,1414,AurB
946,1415,CDK2
947,1416,YSK1
948,1417,CDK2
949,1418,CDK1
949,1419,ERK2
949,1420,PLK1
950,1421,CDK1
950,1422,ERK2
950,1423,PLK1
951,1424,PLK1
951,1425,PLK3
952,1426,PLK1
953,1427,PKACA
954,1428,PKACA
955,1429,PKACA
956,1432,DYRK1A
956,1430,GSK3B
956,1431,IKKA
957,1433,DYRK1B
958,1434,GSK3B
958,1435,P38A
959,1437,GSK3B
959,1436,P38B
959,1439,P38D
959,1438,P38G
960,1440,GSK3B
961,1442,CDK2
961,1443,GSK3A
961,1441,GSK3B
962,1444,GSK3B
963,1445,CDK2
964,1446,CDK2
965,1447,CK2A1
966,1448,Akt1
966,1449,Akt1
967,1450,Akt1
967,1451,Akt1
968,1452,CK2A1
968,1453,CK2A2
969,1454,CDK8
970,1455,CDK8
971,1456,DYRK1A
972,1457,DYRK1A
973,1458,DYRK1A
974,1459,CDK2
975,1460,PLK1
976,1461,JAK2
977,1462,GRK3
978,1463,GRK3
979,1464,GRK3
980,1465,GRK3
981,1466,Src
982,1469,Akt1
982,1470,Akt1
982,1468,p70S6K
982,1467,p90RSK
983,1471,CK2A1
984,1473,Fyn
984,1472,Src
985,1475,Fyn
985,1474,Src
986,1476,Abl
987,1477,LYN
987,1478,LYN
988,1479,LYN
988,1480,LYN
989,1481,Fyn
990,1482,Lck
991,1483,PKCA
992,1484,Fyn
993,1485,Fyn
994,1486,PKCA
995,1487,Lck
996,1488,PKCA
997,1489,PKCA
998,1490,CAMK2A
999,1491,PKACA
1000,1492,PKCA
1001,1493,CSK
