Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
NFE2L2,-0.369397895,0.047235884000000006,-2.505833558,0.014348703999999999,0.029214088,-4.130031825,NA,NA
NFE2L2///CSNK2A1,0.019624592,-0.01602366,0.086971694,0.930922109,0.947943368,-7.164248936,NA,NA
NFE2L3,-0.42977899,0.268173963,-1.1688743879999999,0.246097216,0.32630385100000003,-6.486121582999999,NA,NA
NFE4,-0.480402725,-0.01623197,-4.010505258,0.000140197,0.000531352,0.17695956699999998,NA,NA
NFIA,3.537878177,0.346423285,11.160706900000001,1.07e-17,1.3800000000000001e-15,29.862744899999996,NA,NA
NFIA-AS2,-0.5670680539999999,0.035340671000000004,-4.2209840960000005,6.65e-05,0.000278811,0.8898417359999999,NA,NA
NFIB,0.648129615,0.273087505,3.218644405,0.001892807,0.005052866,-2.278118538,NA,NA
NFIC,1.007982593,0.149019315,4.480245774,2.58e-05,0.000122926,1.798485376,NA,NA
NFIL3,1.3474619419999998,0.09712408199999999,2.996090315,0.003688543,0.009030753,-2.8958139,NA,NA
NFIX,0.334363009,0.101269711,1.6595273119999998,0.10111922400000001,0.154356686,-5.80571283,NA,NA
NFKB1,0.627796357,-0.039539395,3.041856573,0.003223664,0.008027526,-2.771600748,NA,NA
NFKB2,-0.159026412,0.139241655,-1.00494841,0.31810168699999997,0.404262945,-6.662810854,NA,NA
NFKBIA,-0.76118261,-0.019523578,-5.930206126,8.3e-08,8.540000000000001e-07,7.3764320979999995,NA,NA
NFKBIB,-0.191117972,0.163045368,-1.159552286,0.249850997,0.330245053,-6.49686075,NA,NA
NFKBID,-0.6255928829999999,0.08405494,-3.3408326010000002,0.001295776,0.003641575,-1.9247048869999999,NA,NA
NFKBIE,0.25752663800000003,0.062460212,1.050821197,0.29666125,0.38144367799999995,-6.615971898,NA,NA
NFKBIL1,0.005187302,0.058045374000000004,0.027589858,0.9780613859999999,0.983104993,-7.167674747,NA,NA
NFKBIZ,2.291630097,0.491740258,4.84763572,6.44e-06,3.69e-05,3.138584207,NA,NA
NFRKB,0.010148157,0.150652759,0.060504811,0.9519119620000001,0.964059784,-7.166214504,NA,NA
NFS1,-0.591551967,0.005301917,-4.785558031,8.17e-06,4.55e-05,2.908111907,NA,NA
NFU1,1.402176095,-0.10494272,3.1082119589999997,0.002645602,0.006754904,-2.588900186,NA,NA
NFX1,0.7236963359999999,0.18505477899999997,4.406489725,3.39e-05,0.000155244,1.53670783,NA,NA
NFXL1,0.45306167399999997,-0.08400311699999999,1.131222833,0.261508311,0.343377425,-6.528986904,NA,NA
NFYA,0.609700252,0.185086986,1.4579976590000001,0.148949741,0.213481178,-6.112247598,NA,NA
NFYB,0.914172192,0.056813629000000004,3.447126079,0.000925339,0.0027317590000000003,-1.609335949,NA,NA
