Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
SRSF3,1.839644108,0.17699436,5.612400697,3.08E-07,1.79E-06,6.207983335
SRSF4,2.603755204,0.2350317,8.733465138,4.23E-13,2.14E-11,19.45280122
SRSF5,-0.465255389,0.021762647,-3.698892512,0.000406459,0.00093731,-0.702877025
SRSF6,0.131289315,0.030619866,0.473310743,0.637344376,0.678732358,-6.9108229
SRSF7,-0.228483318,0.023708027,-1.382141157,0.170965773,0.211574428,-6.075021267
SRSF8,0.806806604,0.057336456,2.531856731,0.013404185,0.02134545,-3.930658375
SRXN1,0.725886498,0.006979887,2.33518201,0.022167521,0.03354566,-4.37677177
SRY,-0.51489021,-0.03601962,-2.223701621,0.029130379,0.042961847,-4.615777873
SS18,1.580807858,0.227100956,5.054317002,2.89E-06,1.23E-05,4.036467102
SS18L1,2.637038167,-0.130899695,7.064277394,6.56E-10,1.01E-08,12.22593401
SS18L2,0.749154127,-0.015964465,2.659178278,0.009542952,0.015697234,-3.625663332
SSB,0.96064496,-0.002211494,2.557222789,0.012537822,0.020085282,-3.87089528
SSBP1,0.76904153,0.039895802,3.69508368,0.000411654,0.000947718,-0.714862854
SSBP2,0.704791308,0.257692399,2.055342317,0.043271915,0.061311307,-4.957170425
SSBP3,-0.118195437,0.054347769,-0.54807136,0.585244632,0.630317999,-6.872575895
SSBP3-AS1,-0.29028187,0.005650571,-0.9464102,0.346930388,0.397030446,-6.575707572
SSBP4,0.413861452,0.160554148,1.432782229,0.156009259,0.194866877,-6.005202233
SSC4D,-1.236009504,0.133704191,-5.497497489,4.92E-07,2.66E-06,5.752712113
SSC5D,-1.007965605,0.261707774,-3.297522314,0.001483545,0.002966956,-1.917064649
SSFA2,0.36830035,0.063905469,2.482502472,0.015245958,0.023969182,-4.045494768
SSH1,0.620281833,0.09348101,2.041084311,0.044704654,0.063115961,-4.984983349
SSH2,-0.560707375,0.094711692,-3.672033627,0.000444472,0.001013401,-0.787214888
SSH3,0.339539107,0.033239926,1.472503735,0.145002653,0.182534781,-5.948773867
SSMEM1,-0.558195957,0.041552778,-5.276193192,1.20E-06,5.76E-06,4.887415408
SSNA1,0.76520642,-0.058136444,2.873986559,0.005249834,0.009168231,-3.08327408
SSPN,1.275267738,0.073472497,2.897633649,0.004906591,0.008631886,-3.021485452
SSPO,-0.929691972,0.096076575,-3.764901743,0.000325755,0.000769164,-0.493805165
SSR1,1.245883735,0.082560081,3.37003169,0.001182063,0.002422654,-1.705236404
SSR2,1.784100899,0.002199002,4.406709059,3.39E-05,0.000104585,1.663077213
SSR3,1.822821915,0.060637643,4.038228527,0.000127231,0.000335827,0.398193098
SSR4,2.232004385,-0.032193447,4.840481683,6.62E-06,2.52E-05,3.233579136
SSR4P1,-0.64497479,0.032985929,-3.251442205,0.00171122,0.003363558,-2.049890589
SSRP1,1.556299253,-0.006952628,4.510603235,2.31E-05,7.49E-05,2.031644425
SSSCA1,1.272227395,0.006647572,3.761231574,0.000329808,0.000777331,-0.505496364
SSSCA1-AS1,-0.587059629,-0.023737976,-2.953316814,0.004178492,0.007468051,-2.874393846
SST,-0.707261074,0.523647812,-1.066237443,0.289682355,0.338079391,-6.456098175
SSTR1,1.903345894,0.276686549,9.389334068,2.34E-14,1.86E-12,22.30420217
SSTR2,-1.703541636,0.183281832,-7.722953582,3.67E-11,9.16E-10,15.05983915
SSTR3,-1.716561816,0.231202064,-7.335175202,2.01E-10,3.78E-09,13.38665348
SSTR4,-0.46829458,0.015129392,-2.80724272,0.00634144,0.010853666,-3.255470913
SSTR5,-0.42055703,0.082698628,-2.503615095,0.01443193,0.022811669,-3.996604601
SSTR5-AS1,-0.918043531,-0.100321355,-5.678713755,2.35E-07,1.42E-06,6.472484536
SSU72,-0.342270196,0.017111827,-1.713526249,0.090680717,0.119585532,-5.575410082
SSUH2,-0.81304814,-0.039159254,-3.973642543,0.000159414,0.00041042,0.183700568
SSX1,-0.438152206,0.227268034,-1.1826233,0.240634727,0.286464388,-6.326713756
SSX2B,-1.809278156,-0.00089262,-10.06515629,1.21E-15,1.51E-13,25.22368207
SSX2B///SSX2,-0.390909471,0.077362882,-1.158072692,0.250450525,0.297035712,-6.35508311
